Country_Region,Confirmed,Deaths,Recovered,Active
Afghanistan,51280,2174,41441,7665
Albania,56572,1164,32122,23286
Algeria,98631,2737,66214,29680
Andorra,7875,83,7318,474
Angola,17296,403,10354,6539
Antigua and Barbuda,158,5,147,6
Argentina,1590513,42868,1414680,132965
Armenia,157948,2775,139675,15498
Australia,28349,909,25748,1692
Austria,353484,5931,326768,20785
Azerbaijan,215483,2538,172019,40926
Bahamas,7834,170,6177,1487
Bahrain,91935,351,89643,1941
Bangladesh,510080,7479,453318,49283
Barbados,365,7,305,53
Belarus,188588,1394,167421,19773
Belgium,639734,19234,0,620500
Belize,10591,236,9429,926
Benin,3205,44,3061,100
Bhutan,623,0,445,178
Bolivia,155594,9106,130620,15868
Bosnia and Herzegovina,109911,3942,76121,29848
Botswana,14025,40,11627,2358
Brazil,7504833,191570,6712757,600506
Brunei,152,3,149,0
Bulgaria,198053,7251,112483,78319
Burkina Faso,6344,78,4775,1491
Burma,122534,2618,104351,15565
Burundi,804,2,687,115
Cabo Verde,11723,112,11499,112
Cambodia,364,0,360,4
Cameroon,26277,448,24892,937
Canada,560618,15169,473200,72250
Central African Republic,4948,63,1924,2961
Chad,2015,104,1686,225
Chile,602028,16443,571674,13912
China,95720,4775,89586,1359
Colombia,1603807,42374,1469041,92392
Comoros,715,7,626,82
Congo (Brazzaville),6908,107,5831,970
Congo (Kinshasa),16917,579,14484,1854
Costa Rica,165762,2144,130289,33329
Cote d'Ivoire,22176,137,21776,263
Croatia,205246,3739,193471,8036
Cuba,11434,143,9797,1494
Cyprus,20408,113,2057,18238
Czechia,674340,11152,566048,97140
Denmark,156434,1204,115395,39835
Diamond Princess,712,13,699,0
Djibouti,5813,61,5711,41
Dominica,88,0,83,5
Dominican Republic,167405,2404,129306,35695
Ecuador,209758,13994,184507,11257
Egypt,133900,7466,110436,15998
El Salvador,45415,1313,40662,3440
Equatorial Guinea,5248,86,5097,65
Eritrea,1039,1,623,415
Estonia,25808,213,15921,9674
Eswatini,8687,167,7026,1494
Ethiopia,123145,1912,109846,11387
Fiji,46,2,44,0
Finland,35137,546,26000,8591
France,2619616,63235,196642,2359739
Gabon,9510,64,9356,90
Gambia,3793,123,3660,10
Georgia,222143,2418,206313,13412
Germany,1672643,31145,1294932,346566
Ghana,54503,333,53301,869
Greece,135931,4672,93764,37495
Grenada,124,0,78,46
Guatemala,135441,4773,124604,6064
Guinea,13688,80,13082,526
Guinea-Bissau,2447,45,2386,16
Guyana,6298,164,5732,402
Haiti,9958,236,8582,1140
Holy See,27,0,15,12
Honduras,119713,3066,55959,60688
Hungary,316669,9161,134344,173164
Iceland,5726,28,5555,143
India,10224303,148153,9807569,268581
Indonesia,719219,21452,589978,107789
Iran,1206373,54814,960751,190808
Iraq,592528,12791,533314,46423
Ireland,86894,2205,23364,61325
Israel,407285,3256,366520,37509
Italy,2056277,72370,1408686,575221
Jamaica,12732,298,10161,2273
Japan,223786,3152,184506,36128
Jordan,289748,3778,264061,21909
Kazakhstan,198659,2689,173577,22393
Kenya,95992,1664,77521,16807
"Korea, South",58725,859,40703,17163
Kosovo,50801,1317,39971,9513
Kuwait,149857,932,145808,3117
Kyrgyzstan,80535,1349,75057,4129
Laos,41,0,40,1
Latvia,36838,578,25533,10727
Lebanon,172820,1409,124234,47177
Lesotho,2956,51,1466,1439
Liberia,1779,83,1406,290
Libya,98913,1440,69763,27710
Liechtenstein,2038,35,1734,269
Lithuania,132369,1269,62098,69002
Luxembourg,45849,487,40456,4906
MS Zaandam,9,2,7,0
Madagascar,17714,261,17228,225
Malawi,6377,188,5682,507
Malaysia,106690,455,85592,20643
Maldives,13660,48,13082,530
Mali,6703,256,4452,1995
Malta,12426,215,10791,1420
Marshall Islands,4,0,4,0
Mauritania,13778,330,10568,2880
Mauritius,527,10,496,21
Mexico,1389430,122855,1048539,218036
Moldova,141924,2909,127813,11202
Monaco,801,3,686,112
Mongolia,1175,0,745,430
Montenegro,46969,675,37281,9013
Morocco,433029,7272,399575,26182
Mozambique,18310,162,16178,1970
Namibia,22287,193,18277,3817
Nepal,258840,1832,250581,6427
Netherlands,781467,11135,9150,761182
New Zealand,2151,25,2077,49
Nicaragua,5991,164,4225,1602
Niger,3159,99,1736,1324
Nigeria,84811,1264,71357,12190
North Macedonia,81804,2456,59650,19698
Norway,47585,429,17998,29158
Oman,128563,1495,121182,5886
Pakistan,475085,9992,425494,39599
Panama,233705,3892,187552,42261
Papua New Guinea,780,9,661,110
Paraguay,105374,2202,79171,24001
Peru,1007657,37474,947427,22756
Philippines,470650,9124,438780,22746
Poland,1261010,27147,1005376,228487
Portugal,396666,6677,321682,68307
Qatar,143222,244,141015,1963
Romania,618429,15334,543341,59754
Russia,3047335,54559,2446412,546364
Rwanda,8021,75,6339,1607
Saint Kitts and Nevis,32,0,27,5
Saint Lucia,331,5,274,52
Saint Vincent and the Grenadines,109,0,87,22
Samoa,2,0,2,0
San Marino,2275,57,1955,263
Sao Tome and Principe,1014,17,963,34
Saudi Arabia,362339,6196,353353,2790
Senegal,18728,390,17031,1307
Serbia,328619,3073,0,325546
Seychelles,217,0,207,10
Sierra Leone,2560,76,1872,612
Singapore,58529,29,58386,114
Slovakia,168092,1879,120410,45803
Slovenia,115327,2595,94191,18541
Solomon Islands,17,0,5,7
Somalia,4690,127,3605,958
South Africa,1011871,27071,849974,134826
South Sudan,3491,62,3118,311
Spain,1879413,50122,150376,1678915
Sri Lanka,41603,194,33221,8188
Sudan,23316,1468,13524,8324
Suriname,6013,120,5542,351
Sweden,396048,8279,0,387769
Switzerland,438284,7362,317600,113322
Syria,11138,686,5192,5260
Taiwan*,793,7,654,132
Tajikistan,13237,90,12726,421
Tanzania,509,21,183,305
Thailand,6440,60,4180,2200
Timor-Leste,44,0,32,12
Togo,3576,68,3315,193
Trinidad and Tobago,7115,125,6570,420
Tunisia,133204,4518,101245,27441
Turkey,2162775,20135,2037433,105207
US,19301543,334836,0,18966707
Uganda,33973,248,11297,22428
Ukraine,1061074,18555,690626,351893
United Arab Emirates,202863,660,179925,22278
United Kingdom,2336688,71217,5102,2260369
Uruguay,17306,160,11966,5180
Uzbekistan,76832,613,74439,1780
Vanuatu,1,0,1,0
Venezuela,112636,1018,106737,4881
Vietnam,1451,35,1303,113
West Bank and Gaza,134310,1332,110927,22051
Yemen,2096,607,1384,105
Zambia,19943,384,18296,1263
Zimbabwe,13148,354,10705,2089
